r,t,m,y,TechnologyActivityChangeByModeCostTotal
REGION1,LNDAGRTIGC01,56,2028,0.0725
REGION1,LNDAGRTIGC02,55,2019,0.1069
REGION1,LNDAGRTIGC02,55,2020,0.1045
REGION1,LNDAGRTIGC02,55,2021,0.1364
REGION1,LNDAGRTIGC02,55,2022,0.152
REGION1,LNDAGRTIGC02,55,2023,0.0998
REGION1,LNDAGRTIGC02,55,2028,0.0493
REGION1,LNDAGRTIGC02,55,2029,0.0781
REGION1,LNDAGRTIGC02,55,2030,0.212
REGION1,LNDAGRTIGC02,56,2022,0.0033
