r,t,y,NewCapacity
REGION1,DEMOTHHFO,2027,99999.0
REGION1,DEMOTHHFO,2028,99999.0
REGION1,DEMOTHHFO,2029,99999.0
REGION1,DEMOTHHFO,2030,99999.0
REGION1,DEMOTHHFO,2031,99999.0
REGION1,DEMOTHHFO,2032,99999.0
REGION1,DEMOTHHFO,2033,99999.0
REGION1,DEMOTHHFO,2034,99999.0
REGION1,DEMOTHHFO,2035,99999.0
REGION1,DEMOTHHFO,2036,99999.0
REGION1,DEMOTHHFO,2037,99999.0
REGION1,DEMOTHHFO,2038,99999.0
REGION1,DEMOTHHFO,2039,99999.0
REGION1,DEMOTHHFO,2040,99999.0
REGION1,DEMOTHKER,2018,99999.0
REGION1,DEMOTHKER,2019,99999.0
REGION1,DEMOTHKER,2020,99999.0
REGION1,DEMOTHKER,2021,99999.0
REGION1,DEMOTHKER,2022,99999.0
REGION1,DEMOTHKER,2023,99999.0
REGION1,DEMOTHKER,2024,99999.0
REGION1,DEMOTHKER,2025,99999.0
REGION1,DEMOTHKER,2026,99999.0
REGION1,DEMOTHKER,2027,99999.0
REGION1,DEMOTHKER,2028,99999.0
REGION1,DEMOTHKER,2029,99999.0
REGION1,DEMOTHKER,2030,99999.0
REGION1,DEMOTHKER,2031,99999.0
REGION1,DEMOTHKER,2032,99999.0
REGION1,DEMOTHKER,2033,99999.0
REGION1,DEMOTHKER,2034,99999.0
REGION1,DEMOTHKER,2035,99999.0
REGION1,DEMOTHKER,2036,99999.0
REGION1,DEMOTHKER,2037,99999.0
REGION1,DEMOTHKER,2038,99999.0
REGION1,DEMOTHKER,2039,99999.0
REGION1,DEMOTHKER,2040,99999.0
REGION1,DEMOTHNGS,2018,99999.0
REGION1,DEMOTHNGS,2019,99999.0
REGION1,DEMOTHNGS,2020,99999.0
REGION1,DEMOTHNGS,2021,99999.0
REGION1,DEMOTHNGS,2022,99999.0
REGION1,DEMOTHNGS,2023,99999.0
REGION1,DEMOTHNGS,2024,99999.0
REGION1,DEMOTHNGS,2025,99999.0
REGION1,DEMOTHNGS,2026,99999.0
REGION1,DEMOTHNGS,2027,99999.0
REGION1,DEMOTHNGS,2028,99999.0
REGION1,DEMOTHNGS,2029,99999.0
REGION1,DEMOTHNGS,2030,99999.0
REGION1,DEMOTHNGS,2031,99999.0
REGION1,DEMOTHNGS,2032,99999.0
REGION1,DEMOTHNGS,2033,99999.0
REGION1,DEMOTHNGS,2034,99999.0
REGION1,DEMOTHNGS,2035,99999.0
REGION1,DEMOTHNGS,2036,99999.0
REGION1,DEMOTHNGS,2037,99999.0
REGION1,DEMOTHNGS,2038,99999.0
REGION1,DEMOTHNGS,2039,99999.0
REGION1,DEMOTHNGS,2040,99999.0
REGION1,DEMPUBGWTPHL_VI,2018,99999.0
REGION1,DEMPUBGWTPHL_VI,2019,99999.0
REGION1,DEMPUBGWTPHL_VI,2020,99999.0
REGION1,DEMPUBGWTPHL_VI,2021,99999.0
REGION1,DEMPUBGWTPHL_VI,2022,99999.0
REGION1,DEMPUBGWTPHL_VI,2023,99999.0
REGION1,DEMPUBGWTPHL_VI,2024,99999.0
REGION1,DEMPUBGWTPHL_VI,2025,99999.0
REGION1,DEMPUBGWTPHL_VI,2026,99999.0
REGION1,DEMPUBGWTPHL_VI,2027,99999.0
REGION1,DEMPUBGWTPHL_VI,2028,99999.0
REGION1,DEMPUBGWTPHL_VI,2029,99999.0
REGION1,DEMPUBGWTPHL_VI,2030,99999.0
REGION1,DEMPUBGWTPHL_VI,2031,99999.0
REGION1,DEMPUBGWTPHL_VI,2032,99999.0
REGION1,DEMPUBGWTPHL_VI,2033,99999.0
REGION1,DEMPUBGWTPHL_VI,2034,99999.0
REGION1,DEMPUBGWTPHL_VI,2035,99999.0
