r,t,y,SalvageValue
Region1,DEMPUBWATR21,2026,0.0
Region1,DEMPUBWATR21,2027,0.0
Region1,DEMPUBWATR21,2028,0.0
Region1,DEMPUBWATR21,2029,0.0
Region1,DEMPUBWATR21,2030,0.0
Region1,DEMPUBWATR22,2014,0.0
Region1,DEMPUBWATR22,2016,0.0
Region1,DEMPUBWATR22,2024,0.0
Region1,DEMPUBWATR23,2014,0.0
Region1,DEMPUBWATR23,2015,0.0
Region1,DEMPUBWATR23,2016,0.0
Region1,DEMPUBWATR23,2017,0.0
Region1,DEMPUBWATR23,2018,0.0
Region1,DEMPUBWATR23,2019,0.0
Region1,DEMPUBWATR23,2020,0.0
Region1,DEMPUBWATR23,2021,0.0
Region1,DEMPUBWATR23,2022,0.0
Region1,DEMPUBWATR23,2023,0.0
Region1,DEMPUBWATR23,2024,0.0
Region1,DEMPUBWATR23,2025,0.0
Region1,DEMPUBWATR23,2026,0.0
Region1,DEMPUBWATR23,2027,0.0
Region1,DEMPUBWATR23,2028,0.0
Region1,DEMPUBWATR23,2029,0.0
Region1,DEMPUBWATR23,2030,0.0
Region1,DEMPUBWATR24,2014,0.0005
Region1,DEMPUBWATR24,2015,0.0
Region1,DEMPUBWATR24,2016,0.0
Region1,DEMPUBWATR24,2017,0.0
Region1,DEMPUBWATR24,2018,0.0
Region1,DEMPUBWATR24,2019,0.0
Region1,DEMPUBWATR24,2020,0.0
Region1,DEMPUBWATR24,2021,0.0
Region1,DEMPUBWATR24,2022,0.0
Region1,DEMPUBWATR24,2023,0.0
Region1,DEMPUBWATR24,2024,0.0
Region1,DEMPUBWATR24,2025,0.0
Region1,DEMPUBWATR24,2026,0.0
Region1,DEMPUBWATR24,2027,0.0
Region1,DEMPUBWATR24,2028,0.0
Region1,DEMPUBWATR24,2029,0.0
Region1,DEMPUBWATR24,2030,0.0
Region1,DEMPUBWATR25,2014,0.0
Region1,DEMPUBWATR25,2015,0.0
Region1,DEMPUBWATR25,2016,0.0
Region1,DEMPUBWATR25,2017,0.0
Region1,DEMPUBWATR25,2018,0.0
Region1,DEMPUBWATR25,2019,0.0
Region1,DEMPUBWATR25,2020,0.0
Region1,DEMPUBWATR25,2021,0.0
Region1,DEMPUBWATR25,2022,0.0
Region1,DEMPUBWATR25,2023,0.0
Region1,DEMPUBWATR25,2024,0.0
Region1,DEMPUBWATR25,2025,0.0
Region1,DEMPUBWATR25,2026,0.0
Region1,DEMPUBWATR25,2027,0.0
Region1,DEMPUBWATR25,2028,0.0
