r,t,y,CapitalInvestment
REGION1,LNDBLTJWA,2026,27.0
REGION1,LNDBLTJWA,2027,28.0
REGION1,LNDBLTJWA,2028,27.0
REGION1,LNDBLTJWA,2029,21.0
REGION1,LNDBLTJWA,2030,1805.1
REGION1,LNDCP01HRIND,2020,237.1593
REGION1,LNDCP01HRIND,2021,363.4484
REGION1,LNDCP01HRIND,2022,344.2042
REGION1,LNDCP01HRIND,2023,341.2405
REGION1,LNDCP01HRIND,2024,340.3021
REGION1,LNDCP01HRIND,2025,340.9063
REGION1,LNDCP01HRIND,2026,336.5913
REGION1,LNDCP01HRIND,2027,335.9119
REGION1,LNDCP01HRIND,2028,333.6203
REGION1,LNDCP01HRIND,2029,332.7234
REGION1,LNDCP01HRIND,2030,330.3152
REGION1,LNDCP02HIIND,2016,22.2075
REGION1,LNDCP02HIIND,2017,22.6834
REGION1,LNDCP02HIIND,2018,23.183
REGION1,LNDCP02HIIND,2019,23.7077
REGION1,LNDCP02HIIND,2020,24.2586
REGION1,LNDCP02HIIND,2021,24.837
REGION1,LNDCP02HIIND,2022,25.4444
REGION1,LNDCP02HIIND,2023,26.0821
REGION1,LNDCP02HIIND,2024,26.7517
REGION1,LNDCP02HIIND,2025,27.4548
REGION1,LNDCP02HIIND,2026,28.193
REGION1,LNDCP02HIIND,2027,28.9682
REGION1,LNDCP02HIIND,2028,29.7821
REGION1,LNDCP02HIIND,2029,30.6367
REGION1,LNDCP02HIIND,2030,31.534
REGION1,LNDCP02HRIND,2016,53.6517
REGION1,LNDCP02HRIND,2017,54.8014
REGION1,LNDCP02HRIND,2018,56.0086
REGION1,LNDCP02HRIND,2019,57.2761
REGION1,LNDCP02HRIND,2020,58.607
REGION1,LNDCP02HRIND,2021,60.0044
REGION1,LNDCP02HRIND,2022,61.4718
REGION1,LNDCP02HRIND,2023,63.0124
REGION1,LNDCP02HRIND,2024,64.6302
REGION1,LNDCP02HRIND,2025,66.3288
REGION1,LNDCP02HRIND,2026,68.1123
REGION1,LNDCP02HRIND,2027,69.985
REGION1,LNDCP02HRIND,2028,71.9513
REGION1,LNDCP02HRIND,2029,74.016
REGION1,LNDCP02HRIND,2030,76.1839
REGION1,LNDCP02IIIND,2016,86.7943
REGION1,LNDCP02IIIND,2017,88.6542
REGION1,LNDCP02IIIND,2018,90.6071
REGION1,LNDCP02IIIND,2019,92.6576
REGION1,LNDCP02IIIND,2020,94.8106
REGION1,LNDCP02IIIND,2021,97.0713
REGION1,LNDCP02IIIND,2022,99.445
REGION1,LNDCP02IIIND,2023,101.9375
REGION1,LNDCP02IIIND,2024,104.5545
REGION1,LNDCP02IIIND,2025,107.3024
REGION1,LNDCP02IIIND,2026,110.1877
REGION1,LNDCP02IIIND,2027,102.4895
REGION1,LNDCP02IIIND,2028,94.287
REGION1,LNDCP02IIIND,2029,89.3599
REGION1,LNDCP02IIIND,2030,84.3581
REGION1,LNDCP02IRIND,2016,57.484
REGION1,LNDCP02IRIND,2017,57.1437
REGION1,LNDCP02IRIND,2018,23.9643
REGION1,LNDCP02IRIND,2019,19.1044
REGION1,LNDCP02IRIND,2020,6.8968
REGION1,LNDCP02IRIND,2021,43.6616
REGION1,LNDCP02IRIND,2022,29.7277
REGION1,LNDCP02IRIND,2023,23.4369
REGION1,LNDCP02IRIND,2024,8.2802
REGION1,LNDCP02IRIND,2025,9.5086
REGION1,LNDCP02IRIND,2026,10.6756
REGION1,LNDCP02IRIND,2027,11.7842
REGION1,LNDCP02IRIND,2028,12.8374
REGION1,LNDCP02IRIND,2029,13.8379
REGION1,LNDCP02IRIND,2030,14.7884
REGION1,LNDCP02LRIND,2029,0.6281
REGION1,LNDCP02LRIND,2030,18.1719
REGION1,LNDCP03HIIND,2022,15.2424
REGION1,LNDCP03HIIND,2023,15.8659
REGION1,LNDCP03HIIND,2024,16.4583
REGION1,LNDCP03HIIND,2025,29.8519
REGION1,LNDCP03HIIND,2026,29.8733
REGION1,LNDCP03HIIND,2027,29.8949
REGION1,LNDCP03HIIND,2028,29.9167
REGION1,LNDCP03HIIND,2029,29.9387
REGION1,LNDCP03HIIND,2030,29.961
REGION1,LNDCP03HRIND,2022,52.1487
REGION1,LNDCP03HRIND,2023,54.2821
REGION1,LNDCP03HRIND,2024,56.3088
REGION1,LNDCP03HRIND,2025,102.1322
REGION1,LNDCP03HRIND,2026,102.2054
REGION1,LNDCP03HRIND,2027,102.2792
REGION1,LNDCP03HRIND,2028,102.3539
REGION1,LNDCP03HRIND,2029,102.4293
REGION1,LNDCP03HRIND,2030,102.5054
REGION1,LNDCP03IIIND,2027,48.2767
REGION1,LNDCP03IIIND,2028,48.2953
REGION1,LNDCP03IIIND,2029,48.3141
REGION1,LNDCP03IIIND,2030,48.333
REGION1,LNDCP03IRIND,2026,124.4458
REGION1,LNDCP03IRIND,2027,124.505
REGION1,LNDCP03IRIND,2028,124.5649
REGION1,LNDCP03IRIND,2029,124.6254
